,Time,Source,Text,Compound,Positive,Neutral,Negative,Tweets Ago
34,2018-09-30 09:47:31+00:00,BBCNews,"RT @BBCPolitics: “We will make a success of Brexit, regardless of the outcome of the negotiations,” says the Prime Minister @theresa_may #m…",0.5719,0.156,0.844,0.0,-34
35,2018-09-30 09:43:57+00:00,BBCNews,"RT @BBCPolitics: “Chequers, at the moment, is the only plan at the moment that delivers on the Brexit vote in the way I’ve set out,” says @…",0.0,0.0,1.0,0.0,-35
36,2018-09-30 09:39:15+00:00,BBCNews,Alfredo Morelos: Can Steven Gerrard tame Rangers' El Buffalo? https://t.co/48almQFOkG,0.0,0.0,1.0,0.0,-36
37,2018-09-30 09:36:59+00:00,BBCNews,RT @BBCPolitics: Actor Sir Mark Rylance looks back at the Stop the War protest #marr https://t.co/SIpZ77iqsN,-0.7964,0.0,0.616,0.384,-37
38,2018-09-30 09:26:28+00:00,BBCNews,RT @BBCPolitics: A promise for another referendum “is too early to say” explains @tom_watson “but we’re not ruling it out”. #marr https://t…,0.3182,0.103,0.897,0.0,-38
39,2018-09-30 09:20:52+00:00,BBCNews,In pictures: Search for Indonesia tsunami survivors https://t.co/WmlPJwogGM,0.0,0.0,1.0,0.0,-39
40,2018-09-30 09:18:09+00:00,BBCNews,"RT @BBCWorld: ""We fell in love""- Donald Trump on the ""beautiful letters"" he received from Kim Jong-un
(Tap to expand) https://t.co/YFhNzAjs…",0.5994,0.163,0.837,0.0,-40
41,2018-09-30 09:07:21+00:00,BBCNews,RT @BBCPolitics: Today on #marr: The Prime Minister @theresa_may and the Deputy Leader of the Labour Party @tom_watson. Sir Mark Rylance te…,0.4019,0.114,0.886,0.0,-41
42,2018-09-30 08:27:58+00:00,BBCNews,"'I'd binge on Nutella, eating a giant tub a week' https://t.co/9P2kIsGeh2",0.0,0.0,1.0,0.0,-42
43,2018-09-30 08:03:00+00:00,BBCNews,"RT @BBCSport: Getting ready to spend your Sunday watching the Ryder Cup all day? 😍

Here's all you need to know 👉 https://t.co/SxCARfCZ4m…",0.3612,0.111,0.889,0.0,-43
44,2018-09-30 08:02:41+00:00,BBCNews,RT @BBCScotlandNews: Scotland's health secretary writes to EU staff working in the NHS calling on them to stay in Scotland post-Brexit http…,0.0,0.0,1.0,0.0,-44
45,2018-09-30 07:50:05+00:00,BBCNews,Social media guidelines for young people to be drawn up https://t.co/bDYaCVuN5Y,0.0,0.0,1.0,0.0,-45
46,2018-09-30 07:15:34+00:00,BBCNews,Racism and stereotypes in colonial India’s 'Instagram’ https://t.co/rR3oPf30Re,-0.6249,0.0,0.631,0.369,-46
47,2018-09-30 07:07:54+00:00,BBCNews,Huddersfield: How Terriers are attempting to go global despite league struggles https://t.co/x5YouQ902V,0.2755,0.161,0.839,0.0,-47
48,2018-09-30 06:56:47+00:00,BBCNews,Indonesia quake death toll 'at least 832' https://t.co/GXOVy8HGVu,-0.5994,0.0,0.642,0.358,-48
49,2018-09-30 06:49:24+00:00,BBCNews,Daniel Sturridge: Has the Liverpool forward got his mojo back? https://t.co/H6TfXytetX,0.0,0.0,1.0,0.0,-49
50,2018-09-30 04:49:15+00:00,BBCNews,Indonesia tsunami: Rescuers dig through rubble for survivors https://t.co/at5PxU6pmu,0.0,0.0,1.0,0.0,-50
51,2018-09-30 03:32:45+00:00,BBCNews,Cambridge University completes restoration of gatehouse https://t.co/FDFWKfG6p4,0.0,0.0,1.0,0.0,-51
